Gene	adj.P.Val
ENSMUSG00000081494.1	0.000266602985926494
ENSMUSG00000009115.5	0.000272280436594044
ENSMUSG00000031446.14	0.000278798808843615
ENSMUSG00000031839.6	0.000279618327152839
ENSMUSG00000042625.16	0.000281709213132205
ENSMUSG00000095298.2	0.000283636531635519
ENSMUSG00000014551.8	0.000284729181433672
ENSMUSG00000064262.7	0.000285244764993872
ENSMUSG00000057093.14	0.000285244764993872
ENSMUSG00000075705.12	0.000289669835592081
ENSMUSG00000076928.5	0.000289669835592081
ENSMUSG00000026301.15	0.000295256687069754
ENSMUSG00000018548.15	0.000295256687069754
ENSMUSG00000104901.1	0.000295536252834091
ENSMUSG00000030519.14	0.000295536252834091
ENSMUSG00000082902.3	0.000296961000174971
ENSMUSG00000028683.14	0.000304676964436708
ENSMUSG00000032554.15	0.000306358782166253
ENSMUSG00000031169.13	0.000306825928588388
ENSMUSG00000044254.6	0.000308405424791865
ENSMUSG00000096944.1	0.000309803959021924
ENSMUSG00000053963.7	0.000314524024562478
ENSMUSG00000005043.13	0.00031900795050787
ENSMUSG00000109455.1	0.000321457529412127
ENSMUSG00000075706.10	0.000321457529412127
ENSMUSG00000096910.1	0.000323711393440235
ENSMUSG00000050556.9	0.000324411044725085
ENSMUSG00000036136.8	0.000325344789469963
ENSMUSG00000032059.13	0.000326077715511994
ENSMUSG00000016200.13	0.000328623498709389
ENSMUSG00000058441.7	0.000329603325184367
ENSMUSG00000004814.10	0.00033873169919458
ENSMUSG00000029312.12	0.000340010592756549
ENSMUSG00000103715.1	0.000344051232218644
ENSMUSG00000044595.10	0.000344088828757399
ENSMUSG00000014195.15	0.000345199424976188
ENSMUSG00000105471.1	0.000345517211478987
ENSMUSG00000014547.9	0.000349047607477818
ENSMUSG00000031174.17	0.000349252720078907
ENSMUSG00000021374.9	0.000355034056156641
ENSMUSG00000015709.9	0.000369019539527289
ENSMUSG00000006736.8	0.000370191658932782
ENSMUSG00000000244.17	0.000371047984282907
ENSMUSG00000084349.3	0.000378606880772434
ENSMUSG00000108778.1	0.000378851130030292
ENSMUSG00000034295.9	0.000379618134338259
ENSMUSG00000097587.1	0.00038594011437523
ENSMUSG00000015599.8	0.00038594011437523
ENSMUSG00000060376.7	0.000390927574771244
ENSMUSG00000031250.8	0.000405824114219762
ENSMUSG00000030340.16	0.000409925712595113
ENSMUSG00000102748.1	0.000421513937670163
ENSMUSG00000018442.13	0.000421513937670163
ENSMUSG00000109810.1	0.000421739006591427
ENSMUSG00000032872.16	0.000425297805384681
ENSMUSG00000024403.16	0.000425297805384681
ENSMUSG00000018841.17	0.000427884717939267
ENSMUSG00000052752.15	0.000438708754517611
ENSMUSG00000034686.7	0.000438708754517611
ENSMUSG00000049502.16	0.000439993109613267
ENSMUSG00000056458.16	0.00044309321740954
ENSMUSG00000059447.13	0.000457259478650359
ENSMUSG00000054237.5	0.000457259478650359
ENSMUSG00000034227.7	0.000459594528790312
ENSMUSG00000028954.11	0.000467624925120285
ENSMUSG00000029192.17	0.000479032891151062
ENSMUSG00000059834.12	0.000485482743139366
ENSMUSG00000059540.15	0.000485816334152366
ENSMUSG00000020436.17	0.000488943952714797
ENSMUSG00000054418.6	0.000489615147713141
ENSMUSG00000024505.15	0.000490469191469701
ENSMUSG00000013033.16	0.000493512888650223
ENSMUSG00000090707.8	0.000494538248391802
ENSMUSG00000052852.7	0.000499324872652298
ENSMUSG00000028644.16	0.000502504084808921
ENSMUSG00000022221.13	0.000502504084808921
ENSMUSG00000030126.17	0.000503116225757324
ENSMUSG00000107877.1	0.000503116225757324
ENSMUSG00000026019.15	0.000509205501992012
ENSMUSG00000068739.13	0.000509593198661654
ENSMUSG00000024913.16	0.000515832607754373
ENSMUSG00000026088.15	0.000524237102769772
ENSMUSG00000049562.5	0.000535869576345862
ENSMUSG00000072974.4	0.000537562873286054
ENSMUSG00000033249.10	0.000537562873286054
ENSMUSG00000022180.6	0.000537720374183514
ENSMUSG00000070632.4	0.000537720374183514
ENSMUSG00000025212.16	0.000541179623983762
ENSMUSG00000031738.14	0.000544780508118804
ENSMUSG00000030562.17	0.00055010590134304
ENSMUSG00000059401.13	0.00055010590134304
ENSMUSG00000038025.7	0.00055010590134304
ENSMUSG00000023175.15	0.000555593381614241
ENSMUSG00000074635.2	0.000559104447721664
ENSMUSG00000080469.1	0.000559104447721664
ENSMUSG00000015451.16	0.000561970925731278
ENSMUSG00000022033.9	0.000563805459266073
ENSMUSG00000061371.7	0.000570141841549847
ENSMUSG00000051860.13	0.000579912488812145
ENSMUSG00000089840.1	0.000581343950418639
ENSMUSG00000098112.7	0.000587029187170829
ENSMUSG00000024245.4	0.000587029187170829
ENSMUSG00000051146.2	0.000587029187170829
ENSMUSG00000092241.1	0.000587029187170829
ENSMUSG00000024238.13	0.000587997008041943
ENSMUSG00000008855.17	0.000600850756252535
ENSMUSG00000037843.6	0.00060098584683049
ENSMUSG00000037239.8	0.000609334136763321
ENSMUSG00000006641.12	0.00060977389227101
ENSMUSG00000020176.17	0.000615268428989583
ENSMUSG00000056912.11	0.000616146431994013
ENSMUSG00000026457.14	0.000618182248887605
ENSMUSG00000032537.14	0.000625106153944073
ENSMUSG00000106484.1	0.00064768585542878
ENSMUSG00000028542.17	0.000650420686281667
ENSMUSG00000027953.13	0.000654260799588543
ENSMUSG00000109827.1	0.000654260799588543
ENSMUSG00000025395.14	0.000654260799588543
ENSMUSG00000031913.9	0.000665259874267309
