C91	C92	C93
1250	1727	1287
0	0	0
3681	3211	2935
0	0	0
3	3	1
0	0	0
97	106	118
90	50	57
367	265	346
1	0	2
43	28	26
0	0	0
7	13	3
66	107	106
448	407	415
0	0	0
165	151	112
119	97	96
0	0	0
0	0	0
0	0	0
190	215	145
0	0	0
283	243	276
67	81	107
1	0	0
447	354	420
0	0	1
5572	6235	6133
6	0	12
2873	2676	3510
215	181	172
0	0	4
1	5	4
112	98	90
635	641	576
0	0	0
37	55	27
0	0	0
295	300	207
8118	12429	10848
25	17	12
21	114	66
0	0	0
669	835	656
120	115	106
200	175	134
267	341	255
0	0	0
0	0	0
3	0	7
4643	3771	3438
884	1279	624
18	15	5
0	0	0
130	91	97
19	28	6
0	0	0
894	3527	3167
546	513	436
44	38	67
7	3	4
20	11	12
2620	2255	2166
3493	4368	3214
6	4	14
1806	3819	4931
934	1066	919
5	6	2
516	838	692
0	1	1
48	153	117
6	11	8
541	573	520
0	0	0
0	0	0
0	0	0
557	547	328
73	60	39
6	1	3
165	197	183
1473	1460	1311
3036	2908	3240
52	39	54
216	171	215
64	123	81
0	0	0
1231	921	759
168	171	153
132	223	152
0	0	0
77	57	74
80	71	74
1532	1542	1392
0	0	0
0	0	0
26	26	62
1	0	1
278	291	266
1589	2258	1680
258	260	259
235	252	204
372	441	356
102	87	95
714	714	762
0	0	0
352	301	397
560	682	526
1599	1821	1646
183	276	232
129	120	120
807	1075	907
1	0	1
0	0	0
0	2	0
0	0	0
834	887	813
0	0	0
632	851	1112
221	265	221
0	0	0
44	100	79
423	1497	1030
2	0	12
950	1125	1060
0	0	0
10	15	10
0	0	0
0	0	0
0	0	0
103	93	82
0	1	3
866	1208	1022
645	591	435
0	0	0
0	0	1
0	0	0
0	0	1
369	545	411
60	37	35
142	127	101
59	53	54
0	0	0
310	669	394
218	246	195
881	1395	1119
274	215	215
47	46	55
503	425	544
74	61	46
411	271	426
70	42	72
474	663	520
0	0	1
769	907	636
5	2	4
2403	3036	2709
271	186	182
46	72	36
930	818	733
0	0	0
61	13	62
0	0	0
57	94	83
0	0	0
6	1	3
1599	55	3226
763	707	608
2297	1879	1654
539	574	453
0	1	1
188	482	387
0	0	0
170	255	192
0	0	0
221	245	181
469	488	366
0	0	0
956	812	757
238	133	124
66	51	40
57	49	35
2112	2022	1725
0	0	0
744	1623	1434
312	556	339
214	504	325
658	1271	969
465	399	309
25	52	83
1	0	0
14	9	11
0	0	0
932	687	500
908	886	619
251	239	187
821	1012	854
156	226	182
0	1	1
738	993	698
578	434	355
0	7	4
0	0	0
0	0	0
252	217	277
0	0	0
158	148	171
0	0	0
418	730	623
133	49	126
958	785	667
0	0	0
981	1486	1317
1	4	5
1086	1256	992
43	44	41
239	263	266
586	777	643
955	1389	1099
0	0	0
4	6	3
455	437	370
549	659	448
1	0	0
63	37	40
759	1279	1242
54	126	79
20313	23107	23491
0	0	0
6	9	5
620	746	667
327	453	371
0	0	2
18	14	8
0	0	0
0	0	1
26	29	19
45	67	53
35	48	10
52	91	46
2	6	14
2	1	2
1218	1037	896
370	439	363
247	312	239
177	190	110
155	366	286
0	0	0
0	0	0
0	0	1
0	0	0
38	49	37
73	88	54
34	28	23
99	125	127
1672	2116	1823
30	1	38
497	510	404
3	0	1
267	209	226
0	0	0
162	150	162
0	0	0
0	0	0
36	60	35
0	0	0
1201	826	708
211	239	175
4	5	2
197	222	157
0	0	0
0	0	0
175	201	140
96	106	76
20	12	13
37	31	19
0	0	0
94	91	77
125	99	122
1	5	3
191	309	222
0	0	0
0	0	0
