C61	C62
AT1G06390	806	606
AT1G06400	1056	886
AT1G04453	0	0
AT1G06410	2205	2010
AT1G06420	35	19
AT1G06430	541	901
AT1G06440	20	13
AT1G06450	41	43
AT1G04463	5	2
AT1G06460	4	37
AT1G04467	0	0
AT1G06470	461	269
AT1G06475	44	35
AT1G06480	0	0
AT1G06490	173	123
AT1G06500	128	86
AT1G04473	0	0
AT1G06515	336	230
AT1G04477	2	1
AT1G06510	108	97
AT1G06520	4	12
AT1G06530	869	632
AT1G06540	20	12
AT1G06550	1669	1212
AT1G06560	280	126
AT1G04483	0	0
AT1G06570	773	791
AT1G06580	50	33
AT1G06590	227	138
AT1G06610	0	0
AT1G06620	311	206
AT1G06630	376	209
AT1G06640	5585	4760
AT1G06645	1	17
AT1G04487	1	1
AT1G06650	264	309
AT1G06660	151	76
AT1G06670	1311	795
AT1G06680	1000	3421
AT1G06690	138	162
AT1G06700	1423	1023
AT1G06710	102	78
AT1G04493	0	0
AT1G04497	0	0
AT1G06720	862	450
AT1G06730	206	171
AT1G06740	70	52
AT1G06750	4	1
AT1G06760	5665	4538
AT1G04503	26	14
AT1G06770	129	99
AT1G06780	862	711
AT1G06790	167	89
AT1G04507	0	0
AT1G06800	229	256
AT1G04513	19	9
AT1G06810	0	0
AT1G06820	251	223
AT1G06830	16	16
AT1G06840	996	853
AT1G06850	284	208
AT1G04517	0	1
AT1G06860	0	1
AT1G04523	0	0
AT1G06870	482	366
AT1G04527	1	0
AT1G06880	0	0
AT1G06890	1351	924
AT1G06900	1210	811
AT1G06910	99	48
AT1G06920	0	3
AT1G06923	90	97
AT1G04533	0	1
AT1G06925	0	0
AT1G06930	85	49
AT1G06950	1242	994
AT1G06960	158	105
AT1G06970	1	0
AT1G06980	20	14
AT1G06990	1	0
AT1G07000	632	630
AT1G07010	74	182
AT1G04537	1	2
AT1G07020	376	296
AT1G04547	0	0
AT1G07025	0	0
AT1G07030	329	258
AT1G07040	399	337
AT1G07050	0	2
AT1G07051	0	0
AT1G07060	4	0
AT1G04557	0	0
AT1G07070	451	274
AT1G07080	1189	1122
AT1G07090	260	211
AT1G07100	0	0
AT1G07110	525	544
AT1G07119	26	21
AT1G07120	10	5
AT1G04563	0	0
AT1G07128	124	101
AT1G07130	61	64
AT1G07135	30	71
AT1G07140	4257	3273
AT1G07150	86	70
AT1G07160	2	10
AT1G07170	292	207
AT1G07175	15	19
AT1G07180	2	336
AT1G07190	0	0
AT1G07200	884	717
AT1G07210	725	550
AT1G07220	222	124
AT1G04567	0	0
AT1G07230	677	622
AT1G07240	718	619
AT1G07250	809	802
AT1G07260	271	204
AT1G07270	17	11
AT1G07280	41	110
AT1G04573	0	0
AT1G07290	95	55
AT1G07300	107	80
AT1G07310	861	922
AT1G07320	330	491
AT1G07330	0	1
AT1G07340	0	0
AT1G07350	1032	730
AT1G07360	626	510
AT1G07370	312	197
AT1G07380	552	456
AT1G07390	54	33
AT1G07400	1341	1059
AT1G07410	100	88
AT1G07420	670	457
AT1G07430	1	1
AT1G07440	0	30
